inputSize=5
hiddenSize=5
outputSize=3
epochs=1000
learningRate=0.1

# DRIVE WEAPONS WEAPONNR SHIELDS CARGO   RECON   SG    TRANSPORT
  1.00,   1.00,   0.00,   0.00,   1.00,   0.00,  0.00,   1.00
  0.10,   0.00,   0.00,   0.00,   0.10,   0.01,  0.00,   0.70
  0.00,   1.00,   0.00,   0.00,   1.00,   0.00,  0.00,   0.00
  0.60,   0.05,   0.01,   0.05,   0.00,   0.00,  0.00,   0.00
  0.40,   0.10,   0.02,   0.10,   0.00,   0.00,  1.00,   0.00

  1.0,   0.2,     0.1,     0.2,     0.0,       1.0,   0.0, 0.0
  0.9,   0.1,     0.0,     0.1,     0.1,       1.0,   0.0, 0.0
  0.85,  0.0,     0.0,     0.0,     0.2,       1.0,   0.0, 0.0

  0.2,   1.0,     1.0,     0.8,     0.1,       0.0,   1.0, 0.0
  0.3,   0.95,    0.9,     0.9,     0.0,       0.0,   1.0, 0.0
  0.25,  0.9,     0.85,    0.85,    0.1,       0.0,   1.0, 0.0

  0.1,   0.1,     0.0,     0.0,     1.0,       0.0,   0.0, 1.0
  0.0,   0.05,    0.0,     0.0,     0.9,       0.0,   0.0, 1.0
  0.05,  0.1,     0.0,     0.1,     0.95,      0.0,   0.0, 1.0
